State,District,Latitude,Longitude,Population,Male Population,Female population,Literate,Male Literate,Female Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male Workers,Female Workers,Non Workers,Agricultural Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,LPG PNG Households,Housholds with Electricity,Households with Internet,Households with Computer,Below Primary Education,Primary Education,Secondary Education,Graduate Education,Other Education,Age 0-29,Age 30-49,Above 50,Households with Television,Households with Telephone Mobile Phone,Sex Ratio,Literacy Rate,Male Unliterate,Female Unliterate
Rajasthan,Dausa,26.91234817629181,76.57342097264443,1634409,857787,776622,938051,596935,341116,354337,185349,168988,433344,228554,204790,684495,398151,286344,949914,76277,200073,1582335,45488,439,296,94,3737,115,35600,195277,1719,14539,229035,235474,135234,90833,13764,1047136,358718,210117,82113,202591,91.0,57.0,260852,435506
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,1206516,653647,552869,683098,435721,247377,245695,131875,113820,58594,31802,26792,523212,339110,184102,683304,74342,206213,1127520,72258,688,1356,92,2739,21,24561,96086,1330,9504,207566,172914,77360,37856,8194,815651,248416,141365,51423,117770,85.0,57.0,217926,305492
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,1388552,696532,692020,681591,415820,265771,52267,26543,25724,983437,491631,491806,641515,346624,294891,747037,184330,216822,1340065,28662,830,240,226,16141,853,26351,141275,1477,11742,238847,175059,60656,39312,4834,868458,317700,191917,46510,115373,99.0,49.0,280712,426249
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,1969168,1043340,925828,1193343,710908,482435,720412,376734,343678,13477,7160,6317,912672,596320,316352,1056496,230438,400147,1437144,50688,2077,474853,938,1988,164,88543,283142,6295,24901,237042,314107,163098,104071,19396,1167889,502211,283484,181616,284669,89.0,61.0,332432,443393
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,1774692,931184,843508,1034136,624281,409855,494189,258352,235837,14289,7578,6711,835260,512802,322458,939432,166833,284136,1433067,118673,1542,216997,241,1935,138,55515,243163,3360,16217,239601,273441,153628,84185,14416,1058044,453114,242361,140280,249474,91.0,58.0,306903,433653
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,6626178,3468507,3157671,4300965,2554793,1746172,1003302,524831,478471,527966,276638,251328,2464893,1714947,749946,4161285,131523,1497985,5819980,687452,12708,18782,1020,81079,257,570997,990085,76565,182350,819004,875940,659389,703673,96562,4091148,1646480,884057,764302,974168,91.0,65.0,913714,1411499
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,669919,361708,308211,308653,210415,98238,99134,52776,46358,42429,22497,19932,288903,182565,106338,381016,43872,105730,497045,168129,874,1723,98,1521,34,12431,43141,754,7416,109484,71132,20142,10604,1720,448969,140294,79977,19388,81102,85.0,46.0,151293,209973
Rajasthan,Jalor,25.07578093797277,72.18647261724662,1828730,936634,892096,829582,543923,285659,357196,185342,171854,178719,93290,85429,896644,494906,401738,932086,158013,223409,1732852,78990,730,231,144,14640,82,39745,161845,1585,12794,270997,277152,75304,25210,7850,1176496,390598,249379,54245,237522,95.0,45.0,392711,606437
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,1411129,725143,685986,739792,466815,272977,243582,125965,117617,182229,94185,88044,685950,402825,283125,725179,209772,136265,1299751,96164,842,819,46,12488,42,38909,220428,1750,9403,226614,203488,73388,47985,6972,850546,346110,213674,96225,167020,95.0,52.0,258328,413009
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,2137045,1095896,1041149,1370360,815834,554526,360709,185879,174830,41629,21380,20249,894649,541392,353257,1242396,68878,290607,1905682,228178,1004,275,56,548,85,131987,297559,4828,24178,296093,305626,256621,158936,25286,1298780,494124,330126,189511,314807,95.0,64.0,280062,486623
